symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00471100,-5.749,0.07911994,0.08195000,0.07724000,0.55710000,0.07723900,5.39890000,0.07724000,6.26580000,0.08195100,0.08196000,0.07682700,130897.71830000,10356.61932491,1662919798049,1663006198049,371846972,372244976,398005
LTCBTC,-0.00015900,-5.485,0.00280930,0.00289900,0.00274000,0.34200000,0.00273900,79.58400000,0.00274000,22.50800000,0.00289900,0.00291600,0.00272400,106667.55800000,299.66152061,1662919798038,1663006198038,83437269,83472563,35295
BNBBTC,-0.00052300,-3.836,0.01340459,0.01363300,0.01311000,0.03100000,0.01311000,18.76700000,0.01311100,6.49100000,0.01363300,0.01367900,0.01311000,52996.50900000,710.39633546,1662919797181,1663006197181,201497822,201661609,163788
NEOBTC,-0.00001200,-2.637,0.00045244,0.00045600,0.00044300,224.10000000,0.00044300,10.59000000,0.00044400,492.05000000,0.00045500,0.00046500,0.00043800,59230.98000000,26.79855354,1662919788745,1663006188745,43848128,43852137,4010
QTUMETH,0.00003800,2.025,0.00190085,0.00187300,0.00191500,12.30000000,0.00191700,400.70000000,0.00192200,37.70000000,0.00187700,0.00194900,0.00186200,6419.20000000,12.20191670,1662919790004,1663006190004,5329375,5329571,197
EOSETH,-0.00000900,-0.919,0.00098094,0.00097900,0.00097000,1663.10000000,0.00096900,661.60000000,0.00097000,299.30000000,0.00097900,0.00101000,0.00096200,218031.80000000,213.87716830,1662919797885,1663006197885,23255945,23258006,2062
SNTETH,0.00000297,17.358,0.00002242,0.00001710,0.00002008,12694.00000000,0.00002007,2574.00000000,0.00002008,3895.00000000,0.00001711,0.00002786,0.00001711,29116130.00000000,652.68188238,1662919791115,1663006191115,3657716,3668036,10321
BNTETH,0.00000700,2.465,0.00029084,0.00028500,0.00029100,605.10000000,0.00028900,1015.10000000,0.00029100,1303.80000000,0.00028400,0.00029900,0.00028300,129935.30000000,37.79022570,1662919735514,1663006135514,2138699,2139092,394
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
GASBTC,-0.00000490,-4.184,0.00011427,0.00011690,0.00011220,3.50000000,0.00011210,200.80000000,0.00011230,113.40000000,0.00011710,0.00011710,0.00011200,113259.10000000,12.94180405,1662919525515,1663005925515,18942780,18946746,3967
BNBETH,0.00340000,2.044,0.16966473,0.16640000,0.16970000,3.04600000,0.16970000,25.90700000,0.16980000,10.85100000,0.16630000,0.17260000,0.16600000,21070.19600000,3574.86920640,1662919797907,1663006197907,50262167,50288041,25875
BTCUSDT,679.58000000,3.144,21986.24719952,21618.29000000,22297.80000000,0.05627000,22296.27000000,0.00100000,22297.80000000,0.06773000,21618.22000000,22488.00000000,21456.67000000,403077.59220000,8862163582.69679580,1662919798109,1663006198109,1794754105,1801869632,7115528
ETHUSDT,-49.67000000,-2.803,1739.42227136,1771.79000000,1722.11000000,0.01070000,1722.10000000,36.61000000,1722.11000000,9.45470000,1771.78000000,1783.00000000,1693.00000000,659076.19800000,1146411817.32291500,1662919798108,1663006198108,961827470,962823346,995877
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1661527756652,1661614156652,-1,-1,0
